title,company_name,location,site,job_url,experience_range,key_skills,match_score,why_this_job_fits,missing_skills,resume_alignment_level,is_remote,work_from_home_type
L2 Support,SourceFuse,"Mohali district, India",linkedin,https://www.linkedin.com/jobs/view/4327955564,3+ years,"alert, api, aws, azure, grafana, incident, itil, linux, log, monitor, monitoring, prometheus, sla",100,"Matches primary skills: alert, aws, azure, incident, itil, linux, log, monitor, monitoring, sla; Matches secondary skills: api, grafana, prometheus; On-call / shift work indicated; Cloud mentions: Azure, AWS, GCP; ServiceNow/ITIL/incident handling evidence; Experience range detected: 3+ years","sftp, servicenow",Strong Match,False,
Diploma Engineer Trainee,Aditya Birla Group,"Maharashtra, India",linkedin,https://www.linkedin.com/jobs/view/4338293436,,"alert, log, monitor, python",18,"Matches primary skills: alert, log, monitor, python; Role appears development-heavy; down-ranked","linux, sftp, servicenow, itil",Ignore,False,Remote
Managed Service Lead,PwC India,"Pune, Maharashtra, India",linkedin,https://www.linkedin.com/jobs/view/4327882683,12+ years,"alert, api, aws, azure, incident, itil, log, monitor, monitoring, servicenow, sla",83,"Matches primary skills: alert, aws, azure, incident, itil, log, monitor, monitoring, servicenow, sla; Matches secondary skills: api; Cloud mentions: Azure, AWS; ServiceNow/ITIL/incident handling evidence; Experience range detected: 12+ years","linux, sftp",Strong Match,False,
Technical Support Engineer,HDFC securities,"Mumbai, Maharashtra, India",linkedin,https://www.linkedin.com/jobs/view/4340932359,3-7 years,"alert, api, java, linux, log, python, rest, sla",52,"Matches primary skills: alert, linux, log, python, sla; Matches secondary skills: api, java, rest; On-call / shift work indicated; Role appears development-heavy; down-ranked; Experience range detected: 3-7 years","sftp, servicenow, itil",Good Match,False,Hybrid
Production Support - Director - Reliability & Production Engineering,Morgan Stanley,"Bengaluru, Karnataka, India",linkedin,https://www.linkedin.com/jobs/view/4323355594,7+ years,"alert, api, grafana, incident, log, monitor, monitoring, prometheus, python, shell",53,"Matches primary skills: alert, incident, log, monitor, monitoring, python, shell; Matches secondary skills: api, grafana, prometheus; ServiceNow/ITIL/incident handling evidence; Role appears development-heavy; down-ranked; Experience range detected: 7+ years","linux, sftp, servicenow, itil",Good Match,False,
Production Support Engineer,Infosys,"Bengaluru East, Karnataka, India",linkedin,https://www.linkedin.com/jobs/view/4325838760,,"alert, as2, incident, itil, java, linux, log, monitor, monitoring, python",0,Exclusion signal detected: 'frontend',,Ignore,False,
Application Support Manager,PwC,"Bengaluru, Karnataka, India",linkedin,https://www.linkedin.com/jobs/view/4325373603,7+ years,"alert, api, aws, azure, incident, itil, log, monitor, monitoring, shell",57,"Matches primary skills: alert, aws, azure, incident, itil, log, monitor, monitoring, shell; Matches secondary skills: api; Cloud mentions: Azure, AWS; ServiceNow/ITIL/incident handling evidence; CI/CD exposure (Jenkins/Bitbucket); Role appears development-heavy; down-ranked; Experience range detected: 7+ years","linux, sftp, servicenow",Good Match,False,Remote
Product Support Engineer 2,Groww,"Bengaluru, Karnataka, India",linkedin,https://www.linkedin.com/jobs/view/4324664726,3+ years,"alert, java, linux, log, monitor, python, shell, sla",65,"Matches primary skills: alert, linux, log, monitor, python, shell, sla; Matches secondary skills: java; Experience range detected: 3+ years","sftp, servicenow, itil",Good Match,False,
Senior Tech Support,Easebuzz,"Pune, Maharashtra, India",linkedin,https://www.linkedin.com/jobs/view/4117169693,3-5 years,"alert, api, linux, log",53,"Matches primary skills: alert, linux, log; Matches secondary skills: api; On-call / shift work indicated; Cloud mentions: GCP; Experience range detected: 3-5 years","sftp, servicenow, itil",Good Match,False,
Application Support,ZakApps,"Chennai, Tamil Nadu, India",linkedin,https://www.linkedin.com/jobs/view/4074127362,1+ years,"alert, as2, incident, log, monitor, monitoring, servicenow",75,"Matches primary skills: alert, as2, incident, log, monitor, monitoring, servicenow; On-call / shift work indicated; ServiceNow/ITIL/incident handling evidence; Experience range detected: 1+ years","linux, sftp, itil",Strong Match,False,
